MhswID,IPS1,IPS2,IPS3,IPS4,IPS5,IPS6,IPS7,IPS8,SKS1,SKS2,SKS3,SKS4,SKS5,SKS6,SKS7,SKS8,P1,P2,P3,P4,P5,P6,P7,P8,AMS
103040147,3.5,3.53,3.36,2.5,3.5,3.42,3.62,2,20,36,58,71,100,119,135,139,0,0,98.28,0,80.01,93.6,100,84.29,0
103040114,1.82,3.37,3,2.64,2.94,2.68,2.87,2.2,6,22,45,61,81,97,112,117,0,0,73.06,0,74.38,77.46,86.67,82.97,1
103040111,3.2,3.11,3.4,2.95,3.55,3.42,3.42,3.5,20,39,59,78,101,120,132,136,0,0,99.11,0,88.46,96.39,81.43,100,0
103040112,3.45,3.21,2.65,2.42,2.95,2.95,3,2.6,20,39,53,69,98,118,133,143,0,0,76.73,0,80.77,90.18,93.43,86.11,0
103040057,3.6,3.68,3.32,3.68,3.25,3.77,3.69,3.75,20,39,55,74,97,119,135,143,0,0,0,0,86.89,85.49,88.57,91.43,0
103040095,4,3.84,3.36,3.59,3.45,3.74,4,3.5,20,39,61,83,103,122,135,139,0,0,91.16,0,86.11,96.93,96.07,92.02,0
103040122,3.35,3.21,2.35,2.68,2.95,3.16,3.56,3.27,17,33,44,63,89,108,135,143,0,0,74.95,0,89.32,79.97,91.43,90.87,0
103040088,3.25,3.58,4,3.36,4,3.74,3.77,3,20,39,61,80,100,119,135,139,0,0,96.37,0,95.6,97.37,95.71,96.43,0
103040077,2.5,2.47,2.41,2.79,2.67,2.75,2.69,2.31,12,28,45,64,79,91,107,121,0,0,88.97,79.92,76.16,53.23,64.4,59.49,1
103040109,3.45,3.74,3.7,3.18,3.7,3.5,3.73,3,17,36,56,72,98,120,135,139,0,0,95.98,0,93.41,89.67,95.43,95,0
103040146,3.5,3.68,3.75,3.47,3.25,3.36,3.47,2.5,20,39,59,78,98,120,135,139,0,0,0,0,93.49,97.06,98.29,100,0
103040054,2.9,3,3.1,3.11,2.7,3.36,3.5,3.5,20,39,56,75,92,114,135,139,0,0,93.03,0,72.29,89.12,83.36,71.43,0
103040163,2.6,2.42,2.7,2.69,1.85,2.35,3.33,2.32,17,33,53,69,83,100,118,134,0,0,83.53,0,66.88,73.55,76.19,61.76,1
103040153,2.6,3.58,2.95,2.41,3.3,2.37,3.6,2.67,14,33,53,69,98,111,135,139,0,0,95.03,0,80.74,83.49,91.9,75.71,0
103040159,4,3.58,3.77,3.59,3.55,3.48,4,4,20,39,61,83,103,121,137,143,0,0,99.07,0,87.13,89.49,95,81.67,0
103040106,3.3,3.26,2.65,3.21,2.95,3.58,3.47,2,20,39,56,75,101,120,135,139,0,0,80.6,0,87.21,96.63,96.86,96.43,0
103040126,3.65,3.37,3.25,3.74,3.55,3.55,3.83,3.78,20,39,59,78,98,118,130,139,0,0,99.11,0,89.09,83.16,88.18,83.33,0
103040142,3.8,3.74,3.45,3.45,4,3.84,3.73,4,20,39,55,77,105,124,135,141,0,0,97.49,0,93.48,96.61,97.62,99.17,0
103040065,3.75,3,3.32,3.26,3.1,3.45,3.5,3.44,20,36,52,71,94,114,124,133,0,0,83.08,0,72.51,69.53,87.5,77.78,1
103040149,3.7,3.26,3.73,3.09,3.32,3.42,3.73,3.5,20,39,61,83,105,124,135,139,0,0,86.8,0,84.13,92.03,90.48,80.12,0
103040116,3.7,2.95,2.95,3.26,3.55,3.45,4,4,20,36,50,66,95,117,135,139,0,0,91.01,0,89.25,89.69,93.71,96.43,0
103040058,3.25,3.05,2.5,2.16,1.64,1.5,3,2.6,20,39,56,69,74,80,100,113,0,0,73.02,0,50.88,46.19,82.24,74.66,0
103040144,3.4,3.26,2.95,2.74,2.94,2.55,3.13,2.33,20,39,59,78,95,112,127,133,0,0,95.1,0,68.09,61.99,82.38,66.15,1
103040121,3.25,3.84,3.7,3.36,3.09,3.76,4,4,17,36,56,78,100,121,137,139,0,0,98.21,0,90.59,92.21,84.29,100,0
103040108,4,3.58,3.55,3.5,3.77,3.84,4,4,20,39,59,81,103,122,135,139,0,0,100,0,91.61,98.9,96.07,99.17,0
103040110,3.45,3.74,3.55,3.59,3.64,3.84,4,3,17,36,53,75,103,122,135,139,0,0,0,0,92.65,98.35,96.43,87.86,0
103040060,3.6,3.42,2.68,3.21,2.76,3.5,2.63,3.14,20,39,55,74,94,116,132,139,0,0,76.2,0,74.73,85.09,84.8,88.1,0
103040164,3.5,3.42,3.55,3.42,3.4,3.23,3.53,2.5,20,39,59,78,98,120,135,139,0,0,98.96,0,91.37,95.06,93.43,96.43,0
103040175,3.5,3.26,2.95,3.37,3.4,3.23,3.87,2.5,20,39,59,78,98,120,135,139,0,0,96.13,0,86.79,88.99,81.43,90.6,0
103040170,3.65,3.58,3.59,3.05,3.5,3.48,3.45,3,20,39,61,83,105,126,137,139,96.03,0,0,0,94.23,95.65,95.71,100,0
103040123,2.85,3,2.15,2.68,2.36,2.17,2.75,2,20,24,41,57,65,85,97,107,0,0,71.39,0,76.59,83.97,91.43,87.22,1
103040177,3.6,3.37,3.4,3.26,3.55,3.36,3.67,2.5,20,39,59,78,98,120,135,139,0,0,0,0,92.39,92.47,94.29,96.43,0
103040178,2.9,2.53,2.85,2.79,2.45,2.5,3.25,2.92,16,29,50,63,89,103,124,136,0,0,91.17,0,76.58,81.86,95.71,100,0
103040165,3.45,3.26,3.32,2.95,3.36,3.11,4,3.33,20,36,55,71,99,118,135,141,0,0,100,0,93.34,93.47,93.03,84.29,0
103040176,3.75,3.84,3.7,3.37,3.27,3.5,3.54,2.5,20,39,59,78,100,122,135,139,0,0,84.6,0,86.88,95.28,93.57,83.33,0
103040180,3.5,3.37,3.55,3.11,3.55,3.5,3.87,3.75,20,39,59,78,98,120,135,143,0,0,98.96,0,94.58,95.86,93.43,100,0
103040182,2.75,3.05,2.95,2.53,2.2,2.67,2.87,2.4,20,39,59,78,92,110,128,136,0,0,0,0,74.33,62.07,83.71,80.46,0
103040152,3.15,3.11,2.55,2.68,2.8,2.71,3,2.6,22,41,60,82,96,107,120,128,0,0,88.67,0,73.9,70.9,60.77,25.33,1
103040184,3.15,2.79,2.65,2.47,1.79,2,2.33,2.1,20,39,59,75,83,94,101,109,0,0,0,0,57.65,30.45,37.35,55.26,1
103040185,3.55,3.32,3.6,3.37,3.59,3.73,3.77,3.5,20,39,59,78,100,122,135,139,0,0,0,0,87.91,92.91,91.07,81.79,0
103040187,3.4,3.13,2.55,2.89,2.8,3.1,3.47,2.8,20,36,56,72,92,106,127,137,87.12,0,83.65,0,89.15,90.49,95.43,89.52,0
103040190,3.4,3.68,2.95,3.11,2.85,3.14,3.53,3,20,39,56,75,98,120,135,139,0,0,79.7,0,80.74,84.02,93.43,88.69,0
103040191,3.5,3.29,3.3,3.1,3.09,2.82,4,2.5,20,37,57,75,100,122,132,136,0,0,98.07,0,85.99,88.88,85.71,90.83,1
103040193,3,2.74,2.4,2.06,1.94,3,2.6,3,20,36,53,63,77,83,99,103,0,0,68.7,0,52.21,65.86,67.6,36.67,1
103040196,3.1,2.63,2.2,3.06,2.75,2.95,3.4,2.22,20,36,47,63,92,109,124,133,0,0,83.64,0,87.82,95,79.52,85.71,1
103040198,2.9,1.95,2.2,2.76,2.94,2.15,2.2,2.5,17,30,44,61,78,95,108,126,50.25,0,81.79,0,81.38,81.66,84.29,81.82,1
103040199,3.05,2.63,2.65,2.79,3.25,2.8,3.2,2.67,17,33,56,75,95,112,133,139,0,0,71.52,0,87.13,80.16,83.43,75.61,0
103040203,3.35,3.26,3.64,3.41,3.6,3.84,4,3.5,20,39,61,83,103,122,135,139,0,0,95.72,0,87.21,90.18,89.03,89.29,0
103040206,3.05,2.58,2.65,2.21,2,2.5,3.08,2,20,36,53,69,89,101,113,119,0,0,73.45,0,71.35,78.35,90.57,67.65,1
103040211,2.6,2,3.7,2.38,2,2.91,3,3,17,22,42,55,58,66,69,71,0,0,98.07,0,25.36,68.15,39.39,17.34,1
103010003,3,2.94,2.68,3.13,2.73,3,2.72,3.38,19,34,50,65,89,103,125,138,0,0,0,0,81.21,75.88,69.8,68.57,0
103010005,2.45,2.87,2.56,2.22,2.33,2.56,2.56,1.63,15,30,47,60,84,97,122,128,0,0,0,0,73.55,73.81,72.61,32.74,0
103010007,2.72,2.94,3.15,2.7,2.68,2.74,3.25,3.4,16,31,54,64,90,113,126,132,0,0,0,0,96.83,91.71,78.76,30.89,1
103010008,2.9,3.27,2.39,2.08,1.92,2.5,3,2.83,19,34,51,61,77,90,110,112,0,0,0,0,75.91,77,68.09,27.99,1
103010010,2.28,2.79,2.54,1.73,2.07,2.64,3.14,3,20,35,46,56,76,85,101,109,0,0,0,0,61.74,57.74,61.22,43.87,1
103010009,2.11,2.83,2.38,1.92,2.45,2.5,2.9,2.56,14,27,41,46,63,75,91,106,0,0,0,0,63.06,60.83,63.45,39.8,1
103010004,2.72,2.87,2.61,3,2.65,2.65,2.96,3.56,19,31,46,62,84,100,127,138,0,0,0,0,91.13,73.37,84.76,76.43,1
103010012,2.45,2.78,2.5,2.06,2.4,2.47,3.25,3.13,19,37,52,59,82,91,118,130,0,0,0,0,84.15,76.84,80.66,71.17,0
103010015,3,3.22,2.5,2.64,3,3.05,3.14,4,15,33,55,77,98,117,141,146,0,0,0,0,94.56,87.87,82.52,0,0
103010016,3.8,3.44,3,3.36,4,3.53,3.5,4,20,35,57,79,104,119,139,146,0,0,0,0,98.03,90.48,76.47,0,0
103010017,2.38,2.53,2.5,2.67,2.56,4,2.56,1.78,17,32,47,57,72,74,88,93,0,0,0,0,68.38,25.98,46.5,26.1,1
103010018,2.8,2.61,2.55,2.7,3.2,3.47,3.35,4,13,26,45,62,91,106,133,146,0,0,0,0,77.97,77.59,81.28,31.73,0
103010019,3.25,3.22,2.95,3.36,3.6,3.6,3.85,4,24,39,56,71,98,113,137,141,0,0,0,0,94.12,88.6,75.64,0,0
103010021,2.9,3.33,2.75,2.64,2.15,2.67,3.06,3.88,20,35,52,64,91,100,128,144,0,0,0,0,77.88,79.97,76.43,85.53,0
103010022,2.8,2.72,2.55,2.5,3.29,3.19,3.25,3.37,15,26,44,56,79,92,123,137,0,0,0,0,95.29,76.12,80.44,82.11,0
103010020,3.35,2.83,2.77,3,3.25,3.63,3.39,4,21,33,47,63,90,112,140,144,0,0,0,0,100,97.48,93.76,0,0
103010023,2.29,2.5,2.08,2.5,2.38,2.5,3.25,2.75,20,30,42,58,77,94,110,122,0,0,0,0,78.12,55.18,66.5,60.25,1
103010025,2.85,2.89,2.65,2.4,2.88,2.71,3.39,3.43,15,30,50,68,87,104,133,138,0,0,0,0,96.07,84.48,83.34,82.14,0
103010026,3.2,2.83,2.86,2.95,3.12,3.18,3.33,3.56,19,34,53,70,93,105,135,150,0,0,0,0,83.18,73.74,83.56,74.62,0
103010027,3.25,3.33,2.79,2.65,2.78,2.86,3.3,3.36,17,32,49,66,89,103,132,144,0,0,0,0,96.77,63.63,82.52,50.55,0
103010028,3.1,3.39,3.14,3.27,3.36,3.37,3.82,4,15,30,53,70,94,115,146,146,0,0,0,0,100,91.14,91.85,0,1
103010033,3.2,3.39,3.73,3.14,3.73,3.45,3.55,4,18,34,54,71,91,111,139,144,0,0,0,0,98.35,78.18,92.12,6.35,0
103010042,2.8,3.28,2.67,2.84,2.22,2.72,2.75,3.64,15,30,50,69,87,102,119,133,0,0,0,0,77.35,74.5,54.62,64.58,0
103010044,2.5,2.72,2.28,3.06,2.6,2.73,2.5,1.5,17,27,44,58,80,98,116,116,0,0,0,0,91.51,63.54,62.65,43.08,1
103010047,3.55,3.28,3.54,3.68,3.54,3.74,3.86,4,20,38,62,84,106,125,141,148,0,0,0,0,99.23,94.76,92.45,0,0
103010053,3,2.93,2.15,2.5,2.25,2.67,3.07,2.85,13,21,35,43,61,69,103,117,0,0,0,0,53.77,72.56,79.11,51.71,1
103010054,3.25,3.28,2.4,3.5,3.11,3.6,3.17,3.54,20,38,58,80,95,110,131,144,0,0,0,0,96.77,78.33,82.72,66.02,0
103010041,2.56,3,3.13,3.4,2.75,3.06,2.79,2.93,13,31,53,73,93,107,121,135,0,0,0,0,92.49,68.77,70.92,68.07,0
103010058,2.9,2.78,2.45,2,2.93,2.86,2.44,3.29,16,31,48,53,80,92,113,129,0,0,0,0,89.95,72.72,62.73,42.05,1
103010056,2.33,2.73,2.53,2.21,2.3,2.54,3.06,3.25,11,24,36,44,62,75,108,120,0,0,0,0,74.6,74.38,89.42,94,0
103010070,2.64,2.71,2.44,2.56,2.28,3.11,2.67,3.19,14,22,29,42,64,79,107,126,0,0,0,0,84.8,69.18,77.86,39.2,1
103010049,2.83,3,2.5,2.89,1.92,2.53,2.42,2.83,16,28,51,67,74,94,110,123,0,0,0,0,42.07,58.06,67.62,33.77,1
103010030,2.76,2.89,2.94,2.9,3.3,2.76,3.23,3.47,13,28,50,70,94,108,135,146,0,0,0,0,97.5,86.38,85.77,56.11,0
103010059,3.22,3,2.25,2.07,1.88,2.83,2.67,2.5,16,29,45,55,68,76,96,110,0,0,0,0,59.89,40.86,62.65,49.68,1
103010060,2.85,2.78,2.56,2.9,2.8,2.88,2.95,3.47,15,30,50,70,88,102,125,139,0,0,0,0,80.55,79.27,85.38,60.91,0
103010038,2.7,2.89,2.82,2.85,2.28,2.89,3.06,3.53,15,27,48,64,82,100,130,144,0,0,0,0,94.16,82.03,55.09,82.46,1
103010072,3.41,3.06,2.6,3.18,3,2.94,3.06,3.14,17,32,52,74,97,114,132,139,0,0,0,0,88.73,59.11,81.79,36.54,0
103010032,3,2.83,3,2.9,2.73,3.32,3.2,4,15,28,52,72,91,110,137,144,0,0,0,0,90.04,84,76.97,63.17,0
103010039,2.8,3.39,2.95,3.05,3.65,3.52,3.18,4,15,30,45,60,84,111,141,141,0,0,0,0,87.06,93.86,80.45,0,1
103010048,2.7,3.17,3.24,3.18,2.55,2.59,3.26,3,18,33,50,65,91,105,130,138,0,0,0,0,87.65,59.2,83.89,54.17,1
103010061,2.83,2.94,2.56,2,2.08,2.76,2.3,4,18,36,57,65,78,95,111,113,0,0,0,0,55.53,50.53,58.91,23.06,1
103010036,2.61,2.88,3.1,2.44,2.27,2.63,2.38,2.56,13,26,41,49,65,76,89,98,0,0,0,0,40.85,38.2,44.08,37.45,1
103010031,3.6,3.06,3.17,3.36,3.77,3.87,3.8,4,17,30,52,74,102,117,139,146,0,0,0,0,95.12,87.21,85.79,0,0
103010062,2.61,3.11,2.56,2.93,2.94,2.94,2.94,3,19,34,54,66,86,100,130,139,0,0,0,0,85.57,65.25,83.47,47.33,1
103010055,3.3,2.83,2.65,3.4,3.45,3.47,3.39,4,18,36,58,78,95,114,135,144,0,0,0,0,83.4,73.05,82.06,30,0
